Datetime,Tweet Id,Text,Username
2022-11-24 11:02:27+00:00,1595734588617367553,"ہمارے ملک کی سیاست ٹوئیٹر نہ ہو تو کہاں جائے؟ 
#امپوڑٹڈ_حکومت_نامنظور",Nazthemadhatter
2022-11-24 03:39:28+00:00,1595623108194766848,اوقات اوقات  کی بات ہے 😝✌️ #امپوڑٹڈ_حکومت_نامنظور https://t.co/6LZFTvhN3z,AyeshaSheikhjee
2022-11-22 13:18:52+00:00,1595044142455074817,L تسلیم شاہ نے وہ کر دکھایا ھے جو انگلینڈ کے ڈاکٹر چار سال میں  نہیں کر سکے چلنے سے معذور شخص کو بھاگنے پر مجبور کر دیا ھے🏃🏃 #امپوڑٹڈ_حکومت_نامنظور,AyeshaSheikhjee
2022-11-19 18:38:38+00:00,1594037451726675968,"سیاسی غیر یقینی صورتحال، آئی ایم ایف مذاکرات میں تاخیر، پاکستان کے ڈیفالٹ کا خطرہ 79 فیصد تک بڑھ گی ... #امپوڑٹڈ_حکومت_نامنظور
#نوازشریف
#شہبازشریف
#زرداری
#مریم_صفدر
#بلاول
#فضل_الرحمان
#باجوہ
https://t.co/Z6Iv6TiPgP",ShaziaAliQazi
2022-11-19 18:19:10+00:00,1594032549701079040,"اسٹیبلشمنٹ اور حکومت عوام کو یہی دیکھنا چاہتی ہے۔
کاش جو بھی آئے امپوڑٹڈ حکومت کو جیلوں میں ڈال دے۔

#امپوڑٹڈ_حکومت_نامنظور https://t.co/d1O2BNe9LP",ShaziaAliQazi
2022-11-19 12:09:33+00:00,1593939534156292097,"یہ تھپڑکی کہانی کیا ہے؟

کس کو پڑا ہے؟ کس نے مارا ہے؟
#امپوڑٹڈ_حکومت_نامنظور 
@ImranRiazKhan @mishilicious @2Kazmi @_Mansoor_Ali @Aftabahy @asmashirazi @GFarooqi @HamidMirPAK @24NewsH",awan_naveel
2022-11-17 11:06:31+00:00,1593198897329238017,@DunyaNews تم کون ہو بھئ 😜😜#امپوڑٹڈ_حکومت_نامنظور,jugnoo05773941
2022-11-15 07:44:19+00:00,1592423232531238918,#بغل_بچے نانی سے بولو اسکی بھی جلدی سے نقل اتار لے #امپوڑٹڈ_حکومت_نامنظور https://t.co/0HFZhx4Ddn,MianAamir22
2022-11-14 22:36:03+00:00,1592285259596537856,"انصاف کہاں سو رہا ہے مائی لارڈز!!

 #امپوڑٹڈ_حکومت_نامنظور",ShaziaAliQazi
2022-11-11 17:47:45+00:00,1591125543097085952,"#حقیقی_آزادی_لانگ_مارچ 57000ہزار پاؤنڈ جرمانے کے بعد موصوف نے غصہ سے اپنے وکیل سے پوچھا یہ جرمانہ ہمیں پاؤنڈ میں کیوں ہوگیا ہے روپے میں کیوں نہیں وکیل صفائی نے بتایا برطانوی عدالت تھی"" کمبخت پاکستان کی عدالتیں کیا بند تھی اس دن""#امپوڑٹڈ_حکومت_نامنظور https://t.co/ULqxJDYzwW",MianAamir22
2022-11-08 13:18:03+00:00,1589970507549458432,عمران خان ایک بے خوف اور دلیر شخص ہے ، ایک پورا بیانیہ بنایا جا رہا ہے عمران خان کیخلاف ، ملزم  نے جو اسکرپٹ یاد کیا ہوا ہے ، میں نے ملزم کا بیان سن کر کہا کہ یہ تو ایک 'طوطا' بولتا ہے ، بیس منٹ میں کوئی پولیس ملزم کو میڈیا پر نہیں پیش کرتی۔ #امپوڑٹڈ_حکومت_نامنظور https://t.co/Nk6b5t8qrS,AyeshaSheikhjee
2022-11-07 15:47:21+00:00,1589645689947975681,"7نومبر 2022
ایک آزاد ملک کے آزاد شہری پر آزادانہ حملہ ہوا۔۔۔۔ لیکن ملک کے آزاد ادارے ایف آئی آر درج کرنے کے لئے آزاد نہیں۔۔۔۔

کیا ہم آزاد ہیں۔
#IKToday 
#PTIofficial 
#LongMarch 
#FIR #امپوڑٹڈ_حکومت_نامنظور  #حقیقی_آزادی_لانگ_مارچ https://t.co/IUgTLHOKce",AyeshaSheikhjee
2022-11-07 06:25:17+00:00,1589504242515345408,"یہ مقدمہ میں اپنے لئے نہیں، اپنی حلال کی بیوی کےلئے نہیں بلکہ پاکستان کی ہر بیٹی اور ہر ماں کےلئے لڑ رہا ہوں،
اعظم سواتی #امپوڑٹڈ_حکومت_نامنظور  #شرم_سے_ڈوب_مرو_شہباز_رانا_فصیل",AyeshaSheikhjee
2022-11-07 05:51:37+00:00,1589495769249501185,"ایسے تو پھر ایسے سہی۔
@OfficialDGISPR
#SackGeneralFaisal 
#SackRanaSana 
#BajwaTraitor 
#BajwaSoldTheNation
#bajwa_kutta
#bajwaandco
#DGISPR
#باجوہ_قاتل 
#ارشد_تیرے_خون_سے_انقلاب_آۓ_گا 
#muradsaeed
#Lanat
#امپوڑٹڈ_حکومت_نامنظور 
#امپورٹڈ_عدالتیں_نامنظور 
#بندیال_کتا https://t.co/wc5XL8kVA4",PTI_khilary
2022-11-06 14:14:05+00:00,1589259832128729095,"کوئی بھی ریاست کے قانون سے بالاترنہیں، انصاف میں تاخیر انصاف سے انکار ہے
#امپوڑٹڈ_حکومت_نامنظور
#عمران_خان_ہماری_ریڈ_لاین_ہے #غازی_عمران_خان https://t.co/Ji2jVx5qND",ShaziaAliQazi
2022-11-06 14:00:40+00:00,1589256454711623681,"کڑوا سچ!

#امپوڑٹڈ_حکومت_نامنظور https://t.co/Y7ywRH9oxT",ShaziaAliQazi
2022-11-06 13:56:52+00:00,1589255499438256128,"کوئی بھی ریاست کے قانون سے بالاتر نہیں، پوری دنیا میں عدالتی نظام سب سے اوپر ہے لیکن پاکستان میں اسٹیبلشمنٹ اور اس کے حواری، اگر یہ کسی کتے کو بھی وزیر اعظم بنانا چاہتے ہیں تو عوام اسے قبول کرے ورنہ آواز اٹھانے والا مرا جائگا، اللہ عمران خان کو محفوظ رکھے
#امپوڑٹڈ_حکومت_نامنظور https://t.co/HvHWkJjawa",ShaziaAliQazi
2022-11-06 13:20:42+00:00,1589246397257506818,"بے غیرتی کا کوئی علاج نہیں ہے، شریف خاندان پاکستان کو  اپنی ذاتی جاگیر سمجھتا ہے، اپنے رشتہ داروں اور کاروبار کے لیے  35 سال سے پاکستان کو لوٹ رہے ہیں، پست ذہنیت کی دوسری ایسی مثال پاکستانی سیاست میں زرداری مداری خاندان کی ہے 🤔🤔
#امپوڑٹڈ_حکومت_نامنظور
#NawazMafia
#PanamaLeaks",ShaziaAliQazi
2022-11-06 10:06:17+00:00,1589197470487416832,"وزیراعظم شوباز شریف:عمران خان کے بیانیہ پر ہندوستان میں خوشی کا سماں ہے!
 شوباز شریف وہ وقت بھول گئے جب نواز شریف اداروں کے خلاف نفرت انگیز تقاریر سے عوام کو بھڑکا رہا تھا اور پورا ہندوستان خوشیاں منا رہا تھا
یہ مریخ پر رہتے ہیں یا انکی عقل اتنی کم ہے؟🤔
#امپوڑٹڈ_حکومت_نامنظور",ShaziaAliQazi
2022-11-05 15:54:24+00:00,1588922688013074432,"زندہ شخص پر پوسٹ مارٹن؟ ... جب دل کی خواہش ہونٹوں پر آجائے ... لیکن اللہ بڑا کارساز ہے .. انشاء اللہ اس کی خواہش پوری نہیں ہوگی۔
#امپوڑٹڈ_حکومت_نامنظور
#عمران_خان_ہماری_ریڈ_لاین_ہے
#اعظم_سواتی_کو_انصاف_دو https://t.co/hMmWJoz6rY",ShaziaAliQazi
2022-11-05 15:35:29+00:00,1588917929386463232,پیمرا کی جانب سے عمران خان کی تقریر نشر کرنے پر پابندی عائد #امپوڑٹڈ_حکومت_نامنظور,AyeshaSheikhjee
2022-11-05 13:11:21+00:00,1588881657087823872,"شہباز شریف پوچھ رہے ہیں کہ عمران خان سرکاری ہسپتال کیوں نہیں گیا ... کیا کوئی اس سے پوچھ سکتا ہے کہ تو اورتمہاری فیملی چھینک آنے پر کیوں بیرون ملک بھاگ جاتے ہے  اپنے سرکاری ہسپتال کیوں نہیں؟ 🙄🙄
#امپوڑٹڈ_حکومت_نامنظور",ShaziaAliQazi
2022-11-05 04:17:03+00:00,1588747195339407366,ماؤزے تنگ نے کہاتھا بہترین دلیل توپ کے منہ سے نکلتی ہے پاکستان میں تولوگ ٹینک سے چھیڑ چھاڑ سے باز نہیں آتے #امپوڑٹڈ_حکومت_نامنظور  #عمران_خان_ہماری_ریڈ_لائن https://t.co/XoG9oQQJfe,AyeshaSheikhjee
